text,label
More job training learning how to take some people down i miss david ,0
@jstreetley slightly jealous! i'm stuck at work! ,0
@davidsillen  sooooooothing.,1
swagga flu is different! ,0
Worked all day. I'm exhausted ,0
the mechanism to open the door to my gas tank broke & I'm on empty...help ,0
@katyperry Hi Katy! Any chance to you come to Brazil? We waiting for you!  Kisses,1
@LesPorter Traveling is fun! Glad ur well! Glad things will slow down 4 u soon!! ,1
@rachelguglielmo awww thanks ,1
yeah i would drop and break the bag of candies for the cupcakes ALL over the lobby while i was trying to get everything together to help ,0
i'm going to watch my fav movie called... PIRATES OF THE CARIBBEAN!!!!... byyyyyeeeee ,1
State wave titles this weekend good forecast and i wont be there ,0
Ive been told i changed 4 the worse =( i aint ive jus found better mates then u! ,1
Will be boarding Chennai today and will be there till Saturday. Limited access to emails and net ,0
@LeBeatz lol wow what a ploy on my good heart.  I'm disappointed. No luv.,0
Ended up not recording today  now of to prestons grad party then idk.....,0
I'm not feeling well ,0
"@neilhimself how cryptic  well, congratulations!",1
"I'm off to BFD in Mountain View - all day show with 35 bands on 4 stages!  The Offspring, 311, Anberlin, Rebelution... sweet! ",1
@skyejaden let me clarify it was like Robot Chicken's version of Land of the Lost but not as funny as that would be. ,1
"long day, gym then working at the restaurant til late... but seacrets afterward!  have a great day, cant wait til august 9th ",1
"Damn, after half an hour of tossing and turning like a salad, i still can't fall asleep. ",0
@paulbazinet  Added you back; have fun up there; I've got to suffer 2 days of reading tweets before I get to sample anything ,1
@heavensgame believe me I tried..apparently I'm important lol seriously how can I enjoy work knowing I'm missing #rugby ,0
@mileycyrus uhm voting polls closed 4 days ago retard ugh justins making you rele stupid  dipshit oh sorry for not kissing your ass!,0
@DetroitSkye Sounds like an awesome plan to me!!! ,1
"@zoid_ ""when it's done"" ",1
@NatalieGolding ohmygosh. isnt she !!!  xx,1
@MsCandy718 aww had the kid stop his search too ,0
@mbsingleton lol where did u adventure off to? And glad i could help haha ,1
@audreylish No  It was just 2 back-to-back. I looooove SVU. It's the best Law & Order. Period.,0
"getting ready, dance recital at four, you should come! ",1
I hope she goes through ,1
having trouble with the concept of sleep,0
Going to bed. I forgot about my sweet tea  now it's all watered down :/,0
wishes i was going to bamboozle tomorrow ,0
@shannenharte least you get to sing the beatles ,0
I can't sleep... so I'm cleaning out some unwanted clutter from my computer & phone. ,1
@rubberdollemma Yes! Ans what sucks even more is that I've done it now and it still doesn't work!!!! Fuckin shit ,0
one full week of school left and then done (plus exams). can't get it off my mind ,1
is really tired today after fest but has to go film a movie scene then go to work. Another full day with no time for anything else. ,0
you are The best for me...........i trust in your self ,1
@Derfdogdreams Well thank you! That's very kind of you to say. ,1
@PlayMyShhh when did yall have GOODZ on PMS.  what are you making me ,0
"@msiimon wait im so jealous.. its crazy!!? lawl, im tired. this weather sucks man ",0
"My birthday tomorrow, the big 20. No longer a teen  I hope this doesn't mean I have to be sensible and mature",0
"@tamineedham Good thing I'm home sick today! Oh, wait... ",0
"Going to bed finally after watching the first IPL match, Chennai super kings lost their first match  http://bit.ly/kttQv",0
MTY movie a wards--so exited ,1
Tweetie for iPhone keeps crashing out whenever I attach an image. Tried reinstalling too ,0
"@ddlovato did you say NIGHTS IN RODANTHE?!?!?  God, i LOVEEEEE that movie!!!! ahhhh! ",1
@vbjb123 did you fall when you were walking up the hill? lol ,1
This is why I love Twitter. Late at night but you won't feel too sleepy 'coz it's fun. Hahaha. ,1
Just wanted to say what's up 2 @Young Natho. ,1
"says morning folks, I am going to work now  http://plurk.com/p/xu4br",0
@LadyTee193 I dooo! ,1
@IGoodall mine too now! Took ages to be able to activate it tho ,0
"Hello stressful week. Homework, projects, studying   Out of it :/",0
@carronrebekah my night was completely devoid of lips. At least lips intended for me.  You were barely alive the last time they were haha,0
"dead from run. clean room, kitchen, basement. then write thank-you notes. thrill rest of the day ",0
"@AliaAlFalah If you find a solution for that problem tell me, I gained a bit of weight and want to lose it but I love food so much ",0
@befuddle My legs are outdoors! as far as my wireless will stretch ,1
Good Morning Tweople... ,1
That lock-in was quite boring. Dot Dot Curve is where it's at: ,1
"@SapphyNo1 yeah I'm the same I have decided to sulk for a bit and then go back and try again, maybe we should have been russian ",1
@britttgriffith No viking horns...bummer ,0
@BadAstronomer Oprah's been a trending topic before.  #oprah,1
aPhone is Out Now Click This Link! http://bit.ly/ZNY8N,1
I want Left 4 Dead 2!! Looks amazing - and gory! Only for XBox or PC though  http://bit.ly/525Et,0
is f-ing exhausted. Don't think I'm gonna make this deadline ,0
"@DanWarp No! I don't want dirty teeth. Besides, I lived for 14 years without a billion dollars. ",1
Time to go to bed. tomorrow it's going to be another busy day. I have to finish some presents.  Night!,1
#jessicaveronica can marry me any day....  <3,1
"my pool is at 74*C, getting warmer ! ",1
"@marcusfoster1 Just had to say I absolutely love ""Let Me Sign"" - It's so beautiful and tragic ",1
"@ChipperChild I took a corner too quickly, got some gravel, and ended up in a ditch, then bounced out of a ditch. ",0
"garrrr, just scoffed some doretos, now i feel bad ",0
why the fart is it so hot today  i think ive melded myself onto my seat because of the heat ,0
@atessies i am here ,1
what can I do about the white spots on my sage?  #help #herb,0
@alams heheh too cute! ,1
usually my obliques look killer! Not lately tho!  Fuck,0
Not bad for time! But holy jeez I need a new battery for my BB. It keeps dying ,0
Esta noche será mia......Just got back from sara an patricks lol fun night as usual we were missin someone though ,0
has to work ,0
"@janinaz http://twitpic.com/67dl7 - haha, thats funny ",1
@kayelynsays walked off again ,0
wants all er mates back together  hate itttt!,0
Good evening morphing to bad evening whilst waiting-waiting.. ,0
"......making call backs from my website, http://www.localcheapadz.com .  Thanks to all the Twitterers who inquired to advertise with me!  ",1
@littlesunflower I take it you are sore today ,1
"@joshuanafi  Argggh!! sorry, i looked & looked for softwares tp ga ada yg bs.. i wanted to upload it kmrn2 tapi memory card aku ga",0
"Enjoying a night a watchig TV, without taking my sleeping meds. ",1
If one more person ask me what happened to my ass I'm going to cry. I miss it too ,0
@tommcfly sad sad sad face  i missed it,0
I'm going to be sick forever!  that means I'm going to cry forever! Happy tori GONE! ,0
"AP, AP, AP, Earth movie, AP, AP... ",0
2-0- it should be good in Orlando- Can't wait ,1
Perfect day with Ty! <3 off to work now! Nothing can ruin my mood! Not even my awful manager. I'm sure she'll try but it won't work! ,1
lonely at work. . . . ,0
no phone still  i miss bbm! i miss richard!,0
@bellissimatina Maybe you could compose a green tango. ,1
Just now getting in bed. I have to wake up in 4 hours and 30 minutes to go dance from8 am to 11pm...GOODY! ....  my body is mad at me..,0
juss dumped my bf...    ,0
@the_rock_show procrastination means to put something off bcoz im too lazy ,1
@Twilightish and to you too! ,1
"aahhh, a very eventful day... it ended on a good NOTE! thank the gods for twitter and all that keeps me going, goodnight, luv u bitches ",1
@tweetypie08 spicy but no Liz Hurley ,0
@gay_emo_zac and a good morning from france to my zaccie ,1
Good Morning All!  @tracy_tp @Lynchie555 @ComedyQueen,1
@Christabel_SMM is ok... a model should know all the do & donts.  - your face is your asset afterall ,1
oh Town of Hamburg police...did you really have nothing better to do? ,0
@HotMomReviews The link doesn't seem to be working. ,0
Woke up late  driving to school,0
"Just washed my hair, ready to go to the horses now! ",1
"Thunderstorms are cool and all, but not when they rob me of sleep. ",0
on cam wiff nesriin  2day was fun but got sunburns ,0
We all make mistakes and sometimes we don't deal with them well...thank God for second chances. Enjoying the new internet ,1
Looks like it's picking up  #ASOT400,1
Gotta clean my room before going to the party ,0
"@gotcoff33 yes, would you like a coffee ",1
Just converted Csharks brochure into a flipping book using page-flip's software.  Looks really great  thanks page-flip and @thetechlabs,1
clumsy me!  freshly bruise just form on my hand. ouch*,0
& so it begins... ,0
@Zissy4PetTalez thanks for the #followfriday! ,1
@SteveChaiGuy out lol How's it going? ,1
@Travismtv  wink wink wink,1
Greetings world! Welcome to the iPhone Lite stream ,1
not sure if I get this but I guess I have to get used to it ,1
Family Matters makes me laugh. ,1
"@smudge_julius mmmmm, i LOVE anthony bourdain... [drool] ",1
LVATT is already number 3 on iTunes. WOW  http://bit.ly/haCbr,1
"Last week was brilliant! I passed 2 exams, Barca won CL and Orlando advanced to NBA finals  One month left till Open'Er YEAH!!!",1
@JorgeBeltran I don't have any half. My both parents are Filipino so yeah I'm a true Filipina. ,1
"@NEEFFRESH lol dam, i dont got a myspace, but i do have a fb tho..ohh umm if u dont mind press the ""fallow"" button on my page plz? ",1
forgot my laptop's power cord at the IGVC site ,0
@phraktyl the Tony's r my most fav award show too    u?,0
@theDebbyRyan Why dont you tweet back 2 me?  your making me sad...,0
@mlexiehayden I wish I could! ,0
Had a fab day shopping y'day.... Just a shame that it's all over and stress has taken over again! ,0
@1stLadyOfSCREW U know iKeep it TRILL ;) u been supportin my music since day 1 ,1
@sunnyX__X soooo good. had roasted banana and balsamic strawberry! well worth the line ,1
Lifes on the up boyyy!!! Haha ,1
iXiGO.com is best for travel search. ,1
It's sunny ,1
"@PaterickSchmede  She's gonna be the death of me, but she's sooo soo funny  Tennessee is rainy again today - le sigh.",1
good moods rub off on people. have fun always! ,1
@LUCKYCARMEN ok thank u and god bless u as well i will talk to u tommarrow if u like to  hope u have a wonderful night xox,1
day number 3 of drinking... oh bring on summer! ,1
@ppittman you are not old!!! You're  just comfy! Like worn in sweats! Said with all the love my sarcastic heart can muster....   ,1
It's coming  #xboxe3,1
@Raachxx omg!  what's up with it that it's not working?,0
Very very bored ,0
going home with shyme.. ,1
@oliviamunn Well now you're expecting it. So... it's gonna take a while. ,0
Going to the footy tomorrow to see Melbourne play ,1
@tashalogan i see u.. i'm here i'm here.. just have never taken the time to engage in conversation with you sorry ,0
"@EllaPaigeBabe niiice, i've never been to ibiza  people always say that there's a looot of party there ;) is it true?",0
"@LstInTheSeeThru Oh Bobbi, and what i replied to Chris was ""boy's night out huh? sounds like fun!""  crap! i encouraged them! LOL",1
@chubbystewart  yes it does! shake it   and good luck at dover tomorr,1
"Having all this week having to do coursework for chemistry, physics and biology for the IGCSE's ",0
"@petewentz yeah! do a video for what a catch, donnie! its my fav song on the new album   x",1
"Still pretty sure I don't have swine flu, but I don't like being sick ",0
@PlayboyMic im not beatin u up! (thnx girl 4 insitigatin @ms_dani_ct ) damn concious is beginning to kick in... ,0
Let's see... Need me some followers ,1
@KimKardashian  link not working ,0
"@carlyluvsunited I think, that may merely be a person with way too much time on their hands. ",1
Can you brush a dog's teeth? Because Bentley's mouth smells like the inside of a mummy's tomb. ,0
They gave me white rice. ~ 2nd borking of order. ~ No tasty brown rice. ,0
i may or may not be watching twilight. don't judge. i just wanted to see the hot evil vampire that's in Never Back Down. ,1
@sambanova Hahahah I know!  I was so sad you got stuck. ,0
@candycoca // Eraa do The night i followed the dog ! Falei dos verbos regulares .. só isso ,1
@Laura_Andrea shoot ,1
"Just want to update my twiiter account,, Hello pal.. i have a dizzy and stressful night.. ",0
been doing maths and geography all morning ,0
"Dream is Over  Susan Boyle, popularly christened 'Singing Angel', has lost to dance group Diversity...http://tinyurl.com/muq2l7",0
@jazmine_kay hmmm might put up bettrpic ofme when i fix my camera  too many kodak moments/happy snaps! We should catch up sometime! XDDDD,0
"@ChewFu - You gotta spin in Denver man, that shit would be hot! Bop is dope, now lets get some Lovegame ",1
@UzimaCollective morning lovely! i didn't even see you posted a msg 2 me- sorry ,0
@ericbolling Where's Dani Babb?  ,0
@brigwyn Heh thanks..  I forgot to bring my heating pad to Vegas with me /sigh,0
"@roobyRIOT yeah, im getting train there and coach back i think. . im gonna sort it all out on tuesday . OMG, OMG OMG ",1
@JanelleLea Our health is important too lol ,1
@TrueBirds how was your day? ,1
on way to work ,0
twitter hahaha  sittin here on twitter for the first time lol,1
....literature exam and my history exam   as she has a maths exam the day after french!,1
I am @ my freinds house. Its her bday tomorow! Say happy birthday to riverad55 aka daisy! ,1
Y Is High Skool So Fuckin Hard ,0
http://twitpic.com/7hrc9 - my legacy graphic  do you like? i like,1
"@terbear59 yes the new one, I adore both though  who doesn't love Vincent!!!",1
"Fuuuuck, the panic attack at airport strong as hell (( on pills now ",0
Got injection  hurt. Went out for hot chocolate and cake and now watching select live!,0
"haha  I could just see your little monster boogie down to ""green light"" @co3z ? http://blip.fm/~78q4q",1
@nicolewilson Not a problem. Hope you have a nice day ,1
"@gloomyrain2 Ha, it is ;D But I have no one to text with it all ",0
@mctweetaholic ooo i wanna go! but i cant  but its all good ,1
"@tommcfly plz say ""Happy Birthday Or , Roni & Mickey!"" plz plz plz ",0
First Xanax in two weeks. It came out of nowhere. Its calming down now. ,0
Yay! It's sunny today^^  Spotify is probably the best invention ever! Using it 24/7 ,1
"is so afraid to let you go. but knowing that if I don't, I will loose you forever. This is the worst feeling the whole enitre world. ",0
is now bored and can't believe the Black Eyed Pea's are Number one... good song though... bit gutted they didn't read my text out though ,0
just woke up. still feeling blah. ive had the stomach virus. ,0
@QueenRike  i feel lonley now! come back! but have fun ,0
"New hair = Short, blonde and blue, and always teased ",1
http://twitpic.com/7hmwe - Snack time ,1
I'm mad at my computer for not wanting to install the Adobe reader. Grrr. But I'm glad @seannwscott is tweeting again.  Yay!  ,1
@karinch seriously? boycotting facebook until work is done?  myself and your other fb friends are sad about it.,0
I have a bit of a headache  ready for tom's class in an hour though!,0
@Gel_6 working as an admin assistant was trying to qualify for Youth Allowance but that plans out now  off to africa in oct to cheer me up,0
"grrr, why couldnt henry be at school today, sooooo booorrreeedd and want to go out. ",0
@NosliwEiggam you going to twitpic? can't wait to see your pics ,1
"@sobonwine I agree on the exercise more part, but doing it is another thing. ",1
@mtgh I didn't go! Got work to do at the last minute! Was very disappointed ,0
@OceanMommy I'm so sorry Steph.   Praying for Ryker's family this morning. So very sad.,0
so glad my test is DONE! ,1
LMAOOOOOO funniest day everrr! GO WINGSSS ,1
@igzzie looking for a place that has good tortillas. When finished let me know how they were and the location pls ,1
Wooohoo!! The MTV MOVIE AWARDS are today!!!!!!! Can't wait ,1
i always hoped it wasn't true.,0
About to do a bad thing ,1
@ayoslang Yeah. I miss Bob Barker. The Price is Right just isn't the same anymore ,0
Lost by 2points  ref was a disgrace!!,0
I'm home from NJ ,0
@1vs100XboxLive I can't download 1 vs 100  Would this be related to the Marketplace issues?,0
@106andpark Love over money i know alot of people will disagree but i think if you have love that's all you need to make you happy ,1
well crap. i was wrong about SYTYCD being on tonite ,0
chale no puedo hacer twitpic ,0
@MadamSalami morning my chicken! my internet died last night ,0
@InvaderSil I keep wanting to plug in our PS2 and play FF7 ,1
Longest line I have ever seen at Subway. It's too bad it's the only decent sandwich place close to work. ,0
@Anzarox ahhhh cool  i need a job myself tbh :/,1
oh no i'm missing all the tweets due to a non nk fan on fb ,0
I have to go to work tomorrow. ,0
My one and only tweet for today...Goodnight everybody. That is all. ,1
@DanielleBebe I love you! And I guess that gross picture makes up for the fact of the getting ready picture ,1
"@DaisyPoppets hows the sneezin,calmed down? im not sure wether i have a cold or hayfever  if its hayfever,its the worst iv had.booohoo xx",0
@krist0ph3r one button refuses to stop getting clicked. self surgery didnt help either  also other parts are getting slow/dying,0
The Newcastle train-wreck continues ,0
"@Shinybiscuit yays, now you have time to make your videos ",1
@_Jannika just chillin. tryna move to L.A ,1
is happs my mums goin away again.. only till saturday though ,0
@hangontomato I had the same thing happen tonight.    Feel better!,0
Who will I be is such a great song ,1
Applying for this job http://is.gd/RbWK but first must break Twitter addiction *mmmph* ***MMMPH** Uh lemme get back to you on that okay? ,0
No cell service in novato  talk to yall tomorrow! Miss my baby ♡ see you soon love. xoxo,0
i got in a fight with ryan. now hes like crying and im just dead inside. sigggh ,0
@jonasismylife1 yeah i'm totally getting that black shirt. my mom said she would get it monday. ,1
@bewarethefish too true... but real question is why I'm awake at fucking 8:30am... ,0
@SeannikaRichae fairly productive. workin on my portfolio when not twittering. I actually left GA a 3 days ago & the weather does suck ,0
im brandnew; fresh out the box. & tonight your gonna be my husband ,1
Just got done with a ton of homework omg ahhh LOL we'll goodnight twitter world hope everyone had. Fantastic Monday and a great Tuesday!! ,1
Gonna go somewhere. Far. Going to bring my iPod Touhc to listen to some MCR<3 ,1
"@lipsticklori a very late, thank you. yeah picked up 2 design awards ",1
In mira mesa about to watch UP! Can't believe the 930 show was sold out! Yaayyy  soo excited!,1
I just stung my arm on stinging nettles ,0
@_misslizzie_ None of them seem to  You can look here for Japan's holidays: http://bit.ly/GlVbi,0
"@sharlynnx yeah,per usual  haha, we're so awesome",1
"Wants to talk to him,but hes not awake. ",0
Lil K is moving to Alabama at the end of Sept   You need to see his recent pix.  He's growing up so fast. Saw your comments on myspace.Thx,0
"@SEBBYWOOD I'm sorry! My headsets being technically bipolar since I got it. Doesn't pass the mic test, not muted, plugged in. I feel bad ",0
"sore, tired, nd paying bills. today is no bueno ",0
@talkabout lucky you!  Ich bleibe gespannt.,1
@nancy_martira thank you so much  She's a keeper!,1
Am making grown men sit a test  feel the power!,1
just made some b-fast  then the gym!,1
@IdolFanatic okay.. I have to go.. have a nice day.. Bye..  ttyl..,1
"@menagers If that's the case, they're giving John Cusack a bad name. ",0
omg i miss so muchie someone right nowww  wish he was here.,0
I need my night time driver!! ,0
Pantene Pro V shampoo smells like a field of happiness..... on your head ,1
"@curt_mowery Hey, it's ok. Just spoilsTwitter for me a bit, but they seem to hassle loads of people, so not just me. Yeah, we're nice ",1
@lourdestraction ARE YOU SERIOUS?  I love Betty!,0
"Listening to XM Radio, finishing up some work for my clients. Good day ahead. ",1
hahahaha rove is funny ,1
one more exam!!! then im free.. for 2 days.. then camp  </3,0
so tired... i need a good nap ,0
goodmorning Manila ...still got the cramps bt a bit better now...Pussycat Dolls will dominate Manila with a concert this Thurs...woooT ,1
Missed WeHo Pride   ,0
-sigh- what to say to him? ,0
at my friends suprise birthday party. Kinda bored though ,0
"Not only is rock band fun, but a night in playing with the family can ease a troubled soul ",1
@wethetravis http://twitpic.com/4eniz - too bad i wont be there. ,0
my wisdom teeth are coming up soooooooo sore  ,0
is in the mood for some serious shopping ,1
good morningg ,1
Another great song for another beautiful day ... even though I'm stuck indoors   Queen Bitch - David Bowie ? http://blip.fm/~7bdem,0
"@kristinky aww, jon and I thought it was a duck for a sec ",1
@kalebnation apparently Rob was hit by a taxi while running from fangirls today  he isn't hurt but still..they are dangerous.,0
"@AngelaMcLin I'm from NZ but was in LA a month ago, I remember meeting you at a bar somewhere. You're cute as. Enjoy the mexican pizza  xx",1
Not really into guys with tattoos....but maybe i can make an exception  being single is soooo much fun! xo,1
"upgraded to latest version of tweetie. ""New video Tweet"" sounds interesting ",1
"damn i want to go to school,, urggg ",0
vp rotund on my nerves.  i've outgrown this company ,0
@aimizubouken It's good that he's drinking ,1
"@JennyFlintoft Yes, yes I am!  After turning 36 last week why the devil not I say!",1
@JustMePammy Not green. Sorry. ,1
cant believe we laid in bed until 11! what a waste of time. I'm going to have to storm through the erythrocyte metabolon and lipid rafts! ,0
Just got home from a nice jaunt to the south of the country. It's cold back in Notts ,0
@SeanoAmericano aww  we agree *shakes ur hand* yeay ,1
watching the last episode off THE HILLS with LC ,0
@mileycyrus saying goodbye hurts so much because it could b 4ever ,0
@jamwheel @somefool oh dear VW haters eh?  - what's car would you buy with Golf money? @jaybee3 I love the new scirocco front personally ,1
Thank you Jesus for all my Fox Hole Friends... too many to name! ,1
@flishflash awww hun  u tired or something else?? need a big squishy hug??? only 2 months and 4 days to go!!,0
@blacksneakers she wouldn't do that to me. I'll make her fall madly in love with me. Her world would revolve around me. ,1
"Calculus it is, because, after all, i'm still human. Now to reprocess everything in existence ",0
i just got asked to shoot a funeral... unsure whether to... ,0
It's 3:15 AM and I have to be awake for work in 4 hours  Not cool,0
last night's town council meeting: the water & sewer funds are going broke and we may have to raise the rates ,0
@RescueAnimals thanks for last week's #FollowFriday mention ,1
My back hurts sooo bad ,0
@fellowcreative thanks for the retweet ,1
Its time for me to pack up at work now and have not had much time for twitter!  Thank you for any follow fridays. Be back later!,0
Tired that my hotmail search does not seem to work ,0
@DreadedKillaa What logo did you make with Skitch? Sharing is caring ,1
"@FrankieTheSats Where are Take That tonight, or are they not performing, im confused, please reply  ♥",1
It looks like Big on Bloor will be rained out  my back up plan is to spend the day reworking my website FINALLY,0
lol just watched 'Get over it'... quite good ,1
"@Matt_Tuck  glad u had an awesome day, so did i! Chinese for lunch, strongbow, sun, friends in park then an awesome gig in a local pub  x",1
"@seattlearchie ops, I'm following you, and I bet you don't know me  Sorry",0
Getting ready for work....Jason says I have to go in even if I don't feel good ,0
@autumnal_hedge How rude! That's half the Quidditch pitch gone! ,0
Is off to see amy! i've missed amy like so much too! and we get to watch twilight! what a great night! ,1
Freaking tireddd!! ,0
"Back from lunch, half the day more to go. Feeling thankful for making it this far. None of me, all from God. ",1
@ffjrocs Hahaha. That is how bloggers work  Also how Beatles fanatics work! My mom went to the matinee tho & thought it was great.,1
ever get the feeling someone's peeking while you are home alone working on the computer. I'm kinda getting it right now...  ,0
@ozazure have a ball. Hoping Owen finds his nocturnal social side ,1
I have the best daughter in the world....she let mommie sleep almost 12 HOURS ,1
@AMomToLove Do you have an ipod that plays video?  there are plenty of free cartoons you can download ,1
@verycris I hope Lana's okay  x,0
Thanks @changeseeker @KP_eezy for the shout outs. Much appreciated. ,1
"Monday morning already  Had a great weekend at the music show, seeing Steve Vai playing The Trooper with Nicko was the highlight.",0
I need to grow my bangs! ,0
@Alegna75 Morning Nookie AND Swiss cake rolls? Can we switch places for a day?? ,1
Goooooooooooooood Morning Vietnam... hoje eu acordei querendo assistir Full Metal Jacket ,1
"Summer is almost here,yet i dont want it to be.Maybe cuz the i've gotten to know the seniors so well,Or cuz biggins isnt coming back. ",0
"@tristramtaylor I know right. What's hotter than flicking thru a perfectly colated library? But, I did neither. I polished my shoes! ",0
"Why does it have to be so cold?  I think its time to get my gloves out, if I can find them!",0
Jailbreaking lol....... bored of course ,0
cant tan in clouds ,0
@jrenee9556 Can I come? ,0
Three Red Lights. ,0
OME i just died. i can't wait until november. ,1
What happened to RayRay? ,0
mad at my babymomma @justvonecia ...she was cheatin on me last nite!!! ,0
"no 3.0 yet, and i gotta leave for work. guess i'll hafta beg/borrow/steal to get internet access for my laptop when 3.0 does get outed.",0
I'm trying to patiently wait...but i want to MOVE! ,0
"having problem with twitterfon and twitterrific on my iphone.. it's like B, kinda retard, i won't apologize for being honest ",1
just got home from hanging out with my friends  6 guys honked their horns at us when we were walking down the street!,1
"The evil clowns who live in my attic are trying to make me laugh by tickling my neck with their overgrown nose hairs, but it's not funny. ",0
JUST GOT HOME AFTER A NIGHT AT BELO THEN LOS PANCHOS... AND IM SOBER  I HATE SLEEPING ALONE =( I WISH HE WAS HERE,1
"@LisaMarie110 hahaha, idk. but YAY! we're gonna be roomiess ",1
woke up from a greatt night out in florence at 1pm.  Perfect life right now,1
"@ksymmonds indeed  , that why i'm starting to run now ",1
@becki023  yea we may sell it at a reduced price!,1
got an urge to get a new watch. guess ima get one now ,0
Ina GOOOOD mood this morninqq  lalalala haha I'm physco ..,1
@JohnJamesRyan awww boo I have work way early tomorrow. By the time I got there I'd have to leave  next time!,0
"Get yesterday a new song, play  and play and playyyy it!!!! ",1
well I called all possible stores that would have LVATT and none of them are open at midnight! ,0
"@ShariSamuels Yea, I figured I need to freshen up my closet since I no longer am a college student. ",0
@GrrrlRomeo  still shy as hell though!  makes no sense! were the odd in a nerdy manner?  ,1
is at the racetrack and its raining. go away rain ,0
This year was sooooo hard. I can't believe I am alive right now. I will probably crash when I get home. haha ,1
Just landed in Puerto Rico! It's good to be back ,1
"Hey, I am on Twitter and second result in www.bing.com.au search so you can ask me directly! lol ",1
"@themaine i miss you too!and waaaat the fuck ian left the cab  hah ""he could shred like a crazy bitch"" how sad.",0
@mitchelmusso 6/2 ,1
is tryin 2 find a photo.......got none small enough 2 put up ,0
im very sad ,0
"@sparkyfirepants yes, i am a pc  haha, what are you trying to do?",0
@ddubsbostongirl me of course!!! ,1
@roxiijonas Brave girl  Ugh I hate insects with a passion :|,1
Tip of the day: Make lashes look more full by pressing dark brown shadow into the roots of your lashes using a thin angled brush ,1
Well my weekend starts today but have no plans ,0
@shireman I'm not a big fan. They've replaced mine twice and this one has been randomly resetting itself for a month. ,0
@zilla_darling Want to go to pole instead of fail exam on IR  If I finish half an hour early I will call you and meet you somewhere!,0
Goodbye Jive test server - so very sorry to have to shut you down ,0
@bimbler Oh nice!!! I wanna BBQ too... ,0
"Is it just me, or was there not too much straight up NEW STUFF (other than Natal) revealed at this E3? I miss the MEGATON announcements. ",0
@HappyDrew that is no bueno ,0
I need chocolates. Lots and lots of chocolates. Stringer Bell is dead. ,0
"not sure how i am going to do 10 hour days, sitting at a desk with a fractured coccyx ",0
getting ready to leave for my dr appt ,1
be back later ,1
Star gazing in shiloh ,1
@yokoono  I so would love to go...but i dont live in the U.S. ,0
